epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/sal_loss,train/teacher_sal_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/sal_loss,val/teacher_sal_loss,lr/pg0,lr/pg1,lr/pg2,lambda_sal,beta_teacher
50,4801.35,1.52748,0.70767,0.90228,0.00811,0,0.71281,0.63714,0.64264,0.34064,1.42548,0.69672,0.92405,0.00569,0,0.000735792,0.000735792,0.000735792,0.111345,0
51,4898.13,1.52889,0.70185,0.90358,0.00696,0,0.69549,0.64876,0.64363,0.34078,1.43448,0.6909,0.92903,0.00568,0,0.000721645,0.000721645,0.000721645,0.108174,0
52,4994.85,1.53099,0.70305,0.89755,0.00709,0,0.65377,0.65352,0.62531,0.33563,1.4337,0.72279,0.92582,0.00574,0,0.000707498,0.000707498,0.000707498,0.105,0
53,5089.32,1.49709,0.70348,0.9047,0.00633,0,0.71259,0.62797,0.63336,0.33623,1.47792,0.70111,0.93813,0.00605,0,0.000693351,0.000693351,0.000693351,0.101826,0
54,5185.74,1.51882,0.68845,0.9024,0.00684,0,0.69031,0.64657,0.63202,0.33613,1.43924,0.7018,0.92842,0.00567,0,0.000679204,0.000679204,0.000679204,0.0986547,0
55,5282.7,1.52917,0.69635,0.89537,0.00673,0,0.68964,0.65373,0.63536,0.33844,1.43486,0.70623,0.92898,0.00573,0,0.000665057,0.000665057,0.000665057,0.0954909,0
56,5379.24,1.53328,0.70618,0.90164,0.00646,0,0.68552,0.65334,0.63616,0.33896,1.43147,0.68452,0.9225,0.00572,0,0.000650909,0.000650909,0.000650909,0.0923377,0
57,5475.48,1.49878,0.68314,0.89229,0.00566,0,0.73571,0.64347,0.64522,0.34267,1.42218,0.6763,0.92377,0.00547,0,0.000636762,0.000636762,0.000636762,0.0891987,0
58,5570.61,1.49819,0.68743,0.89267,0.00514,0,0.70627,0.63799,0.64056,0.34268,1.4211,0.69015,0.9238,0.00605,0,0.000622615,0.000622615,0.000622615,0.0860773,0
59,5666.63,1.50179,0.6937,0.89641,0.00679,0,0.68232,0.65671,0.64266,0.34435,1.42281,0.67749,0.92608,0.0061,0,0.000608468,0.000608468,0.000608468,0.0829771,0
60,5762.36,1.48044,0.66311,0.90163,0.00463,0,0.69991,0.64855,0.64531,0.34462,1.42879,0.67873,0.92586,0.0057,0,0.000594321,0.000594321,0.000594321,0.0799014,0
61,5858.57,1.4975,0.67665,0.89656,0.0046,0,0.68567,0.64524,0.63503,0.3378,1.42492,0.69026,0.92384,0.00595,0,0.000580174,0.000580174,0.000580174,0.0768538,0
62,5954.19,1.48359,0.66469,0.89369,0.00468,0,0.71487,0.65729,0.65277,0.3501,1.41579,0.68342,0.92457,0.00548,0,0.000566027,0.000566027,0.000566027,0.0738376,0
63,6051.44,1.48206,0.66279,0.8968,0.00442,0,0.71641,0.6518,0.65031,0.34409,1.44377,0.68092,0.93457,0.00598,0,0.00055188,0.00055188,0.00055188,0.0708563,0
64,6149.16,1.48722,0.67199,0.89348,0.00464,0,0.72069,0.64884,0.64923,0.34707,1.42333,0.68161,0.92608,0.00563,0,0.000537733,0.000537733,0.000537733,0.067913,0
65,6246.26,1.48341,0.6644,0.88886,0.00358,0,0.70222,0.66283,0.64667,0.3455,1.44229,0.68122,0.93398,0.00566,0,0.000523586,0.000523586,0.000523586,0.0650112,0
66,6343.05,1.5261,0.68246,0.88482,0.0042,0,0.72133,0.64272,0.65182,0.35269,1.41683,0.66511,0.92801,0.00533,0,0.000509438,0.000509438,0.000509438,0.062154,0
67,6440.52,1.44776,0.64703,0.89253,0.00387,0,0.72808,0.65525,0.65503,0.34871,1.42011,0.66469,0.92468,0.00544,0,0.000495291,0.000495291,0.000495291,0.0593447,0
68,6537.36,1.44762,0.65287,0.88967,0.00342,0,0.71408,0.65325,0.64863,0.34891,1.41244,0.66063,0.9234,0.00519,0,0.000481144,0.000481144,0.000481144,0.0565864,0
69,6634.6,1.47517,0.65714,0.89055,0.00311,0,0.72114,0.64201,0.65195,0.34967,1.40348,0.67014,0.92228,0.0055,0,0.000466997,0.000466997,0.000466997,0.0538822,0
70,6731.35,1.44239,0.64777,0.88216,0.00325,0,0.73005,0.6416,0.64334,0.34556,1.41864,0.66321,0.92432,0.00545,0,0.00045285,0.00045285,0.00045285,0.051235,0
71,6828.14,1.45556,0.65287,0.88887,0.00263,0,0.72313,0.64583,0.65259,0.34922,1.41333,0.65855,0.92442,0.00555,0,0.000438703,0.000438703,0.000438703,0.0486479,0
72,6926.19,1.44594,0.64679,0.88773,0.00267,0,0.69158,0.65836,0.64734,0.34787,1.4155,0.65884,0.92208,0.00572,0,0.000424556,0.000424556,0.000424556,0.0461238,0
73,7023.01,1.45327,0.64898,0.8847,0.00259,0,0.72925,0.63215,0.64685,0.34428,1.42161,0.67586,0.9222,0.00557,0,0.000410409,0.000410409,0.000410409,0.0436654,0
74,7120.26,1.43757,0.63312,0.88818,0.00257,0,0.71155,0.65174,0.64382,0.3485,1.39264,0.66603,0.91564,0.00557,0,0.000396262,0.000396262,0.000396262,0.0412755,0
75,7219.15,1.45996,0.65266,0.88113,0.00234,0,0.68426,0.67062,0.65011,0.35306,1.39841,0.6736,0.91779,0.00565,0,0.000382115,0.000382115,0.000382115,0.0389567,0
76,7316,1.40942,0.6304,0.88384,0.00191,0,0.6887,0.65859,0.64191,0.34834,1.40884,0.66212,0.92076,0.00537,0,0.000367967,0.000367967,0.000367967,0.0367118,0
77,7412.83,1.47203,0.65115,0.87682,0.00214,0,0.71848,0.6612,0.65322,0.35308,1.38944,0.65244,0.91844,0.00537,0,0.00035382,0.00035382,0.00035382,0.034543,0
78,7509.39,1.42909,0.62802,0.87783,0.00198,0,0.7074,0.67092,0.66023,0.3587,1.40064,0.65163,0.91908,0.0052,0,0.000339673,0.000339673,0.000339673,0.032453,0
79,7607.08,1.43272,0.62911,0.8737,0.00171,0,0.68701,0.67137,0.6495,0.34884,1.40262,0.65428,0.92054,0.00536,0,0.000325526,0.000325526,0.000325526,0.0304441,0
80,7705.74,1.4172,0.62291,0.88076,0.00172,0,0.67426,0.67718,0.64436,0.34902,1.40781,0.66412,0.92004,0.00519,0,0.000311379,0.000311379,0.000311379,0.0285183,0
81,7801.87,1.41737,0.62546,0.88013,0.00147,0,0.70441,0.66045,0.6504,0.35316,1.38197,0.64619,0.91669,0.00559,0,0.000297232,0.000297232,0.000297232,0.0266781,0
82,7899.57,1.40219,0.61789,0.87871,0.00154,0,0.69932,0.66024,0.64848,0.35169,1.38794,0.64374,0.91809,0.00518,0,0.000283085,0.000283085,0.000283085,0.0249252,0
83,7996.65,1.40461,0.6177,0.87763,0.00148,0,0.70913,0.64935,0.6548,0.3561,1.38584,0.65506,0.91527,0.00547,0,0.000268938,0.000268938,0.000268938,0.0232618,0
84,8092.78,1.36815,0.59484,0.87898,0.00094,0,0.70367,0.65789,0.64956,0.35479,1.38973,0.65998,0.91706,0.00549,0,0.000254791,0.000254791,0.000254791,0.0216898,0
85,8189.51,1.37712,0.60265,0.8736,0.00108,0,0.71386,0.6576,0.65208,0.35869,1.38632,0.6462,0.91713,0.00537,0,0.000240644,0.000240644,0.000240644,0.0202107,0
86,8287.44,1.41997,0.6144,0.87514,0.00097,0,0.70185,0.6697,0.65763,0.35953,1.39071,0.65132,0.92091,0.00539,0,0.000226497,0.000226497,0.000226497,0.0188264,0
87,8383.91,1.43874,0.62236,0.87098,0.00083,0,0.70048,0.66063,0.6564,0.35831,1.3822,0.65099,0.91768,0.0053,0,0.000212349,0.000212349,0.000212349,0.0175383,0
88,8481.44,1.39872,0.60873,0.8721,0.00087,0,0.7017,0.66813,0.65522,0.35606,1.37921,0.64471,0.91752,0.00509,0,0.000198202,0.000198202,0.000198202,0.0163478,0
89,8578.3,1.36068,0.59532,0.87076,0.0008,0,0.71756,0.64421,0.65109,0.35318,1.39079,0.65054,0.91754,0.00513,0,0.000184055,0.000184055,0.000184055,0.0152564,0
90,8675.59,1.41346,0.61329,0.87397,0.0008,0,0.72889,0.67031,0.66674,0.35995,1.38354,0.64693,0.91775,0.00501,0,0.000169908,0.000169908,0.000169908,0.0142653,0
91,8772.24,1.38052,0.60631,0.88168,0.00147,0,0.72464,0.65907,0.65625,0.35591,1.39107,0.64895,0.91886,0.00514,0,0.000155761,0.000155761,0.000155761,0.0133754,0
92,8867.86,1.35357,0.58791,0.87516,0.00145,0,0.70775,0.6495,0.6487,0.35239,1.38706,0.64458,0.91677,0.00513,0,0.000141614,0.000141614,0.000141614,0.0125879,0
93,8964.03,1.34414,0.57641,0.87457,0.00131,0,0.70766,0.65791,0.65072,0.35215,1.39467,0.64386,0.91823,0.00501,0,0.000127467,0.000127467,0.000127467,0.0119036,0
94,9058.89,1.35101,0.58294,0.87473,0.00121,0,0.69416,0.67191,0.65278,0.35689,1.3806,0.64959,0.91654,0.00507,0,0.00011332,0.00011332,0.00011332,0.0113233,0
95,9155.41,1.35818,0.58417,0.87032,0.00111,0,0.72096,0.65262,0.65409,0.3568,1.3798,0.64562,0.91358,0.00503,0,9.91726e-05,9.91726e-05,9.91726e-05,0.0108476,0
96,9250.76,1.33599,0.57296,0.87755,0.00108,0,0.71513,0.66568,0.65928,0.35759,1.38788,0.64258,0.9174,0.00503,0,8.50255e-05,8.50255e-05,8.50255e-05,0.0104771,0
97,9346.58,1.33434,0.57417,0.87649,0.00102,0,0.71574,0.66358,0.65945,0.35962,1.37861,0.63494,0.91389,0.00499,0,7.08784e-05,7.08784e-05,7.08784e-05,0.0102121,0
98,9442.49,1.31887,0.56648,0.87763,0.001,0,0.7258,0.67478,0.66426,0.35856,1.38503,0.64114,0.91643,0.00487,0,5.67313e-05,5.67313e-05,5.67313e-05,0.0100531,0
99,9538.19,1.33041,0.56939,0.87103,0.00099,0,0.70829,0.67345,0.65682,0.35968,1.37939,0.63286,0.91366,0.00491,0,4.25842e-05,4.25842e-05,4.25842e-05,0.01,0
100,9634.26,1.32447,0.56456,0.86961,0.00103,0,0.7118,0.66858,0.65872,0.35891,1.37865,0.63571,0.91405,0.00495,0,2.84371e-05,2.84371e-05,2.84371e-05,0.01,0
