epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/sal_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/sal_loss,lr/pg0,lr/pg1,lr/pg2
76,6934.04,1.41117,0.6304,0.88534,0.00053,0.68827,0.65248,0.63714,0.34953,1.38743,0.65028,0.91866,0.0007,0.000367967,0.000367967,0.000367967
77,7024.03,1.47241,0.65148,0.87785,0.00054,0.7127,0.65497,0.65048,0.35068,1.37792,0.65447,0.91516,0.0007,0.00035382,0.00035382,0.00035382
78,7114.66,1.42757,0.63205,0.87826,0.00053,0.71076,0.66055,0.65285,0.35293,1.38973,0.64735,0.91587,0.0007,0.000339673,0.000339673,0.000339673
79,7205,1.43005,0.62883,0.87439,0.00052,0.68009,0.66277,0.64004,0.34671,1.3933,0.64313,0.91948,0.0007,0.000325526,0.000325526,0.000325526
80,7295.95,1.41764,0.62367,0.88252,0.00052,0.69292,0.64597,0.63673,0.34756,1.39713,0.65361,0.91835,0.00071,0.000311379,0.000311379,0.000311379
81,7386.53,1.41798,0.62449,0.88166,0.00051,0.70252,0.64542,0.6465,0.35142,1.37408,0.64288,0.91438,0.00068,0.000297232,0.000297232,0.000297232
82,7476.89,1.40829,0.61971,0.88076,0.00052,0.68981,0.65375,0.64593,0.3478,1.38024,0.63788,0.91487,0.00071,0.000283085,0.000283085,0.000283085
83,7567.95,1.40817,0.62262,0.87879,0.00052,0.69134,0.66688,0.64805,0.35527,1.36911,0.64389,0.91231,0.00071,0.000268938,0.000268938,0.000268938
84,7658.24,1.37185,0.59708,0.87894,0.00052,0.70837,0.66079,0.65015,0.35168,1.37488,0.64315,0.91234,0.00069,0.000254791,0.000254791,0.000254791
85,7749.07,1.3809,0.60439,0.87288,0.00052,0.71472,0.64873,0.66033,0.35911,1.37121,0.62984,0.91065,0.00069,0.000240644,0.000240644,0.000240644
86,7841.15,1.42007,0.61323,0.87374,0.00053,0.71494,0.64988,0.65357,0.35526,1.36491,0.63442,0.91222,0.00069,0.000226497,0.000226497,0.000226497
87,7932.8,1.43834,0.62511,0.8709,0.00053,0.71601,0.63891,0.65188,0.35612,1.37194,0.63508,0.91485,0.00071,0.000212349,0.000212349,0.000212349
88,8024.95,1.40244,0.61141,0.87221,0.00052,0.69828,0.66149,0.65446,0.35538,1.36774,0.63335,0.91359,0.00069,0.000198202,0.000198202,0.000198202
89,8115.22,1.36065,0.5959,0.87194,0.00052,0.70116,0.65759,0.65435,0.3552,1.37364,0.63795,0.9142,0.00069,0.000184055,0.000184055,0.000184055
90,8206.54,1.41568,0.61414,0.87525,0.00053,0.72486,0.64592,0.66264,0.35878,1.36056,0.63304,0.91052,0.00069,0.000169908,0.000169908,0.000169908
91,8298.23,1.38437,0.60948,0.88225,0.00058,0.69648,0.64423,0.64841,0.3542,1.37218,0.64013,0.91171,0.00072,0.000155761,0.000155761,0.000155761
92,8388.57,1.35682,0.59065,0.87513,0.00055,0.70183,0.64997,0.64893,0.3514,1.36909,0.634,0.91015,0.0007,0.000141614,0.000141614,0.000141614
93,8479.81,1.34837,0.57702,0.87552,0.00053,0.68667,0.65471,0.64634,0.35067,1.37623,0.63502,0.9133,0.00068,0.000127467,0.000127467,0.000127467
94,8569.81,1.35345,0.58348,0.87588,0.00052,0.70724,0.65616,0.65295,0.35663,1.36512,0.63266,0.91193,0.00068,0.00011332,0.00011332,0.00011332
95,8659.07,1.36098,0.58515,0.87191,0.00053,0.69044,0.65966,0.6463,0.35462,1.36818,0.63552,0.91119,0.00068,9.91726e-05,9.91726e-05,9.91726e-05
96,8748.1,1.34161,0.57445,0.87844,0.00052,0.68539,0.66621,0.65005,0.35395,1.37316,0.63312,0.91185,0.00068,8.50255e-05,8.50255e-05,8.50255e-05
97,8837.24,1.34085,0.57551,0.87837,0.00052,0.70129,0.66111,0.653,0.35544,1.36277,0.62413,0.90827,0.00067,7.08784e-05,7.08784e-05,7.08784e-05
98,8926.74,1.32579,0.56914,0.8789,0.00052,0.706,0.65069,0.64901,0.35606,1.37006,0.63013,0.91127,0.00067,5.67313e-05,5.67313e-05,5.67313e-05
99,9016.75,1.33338,0.57206,0.87149,0.00052,0.71444,0.64758,0.652,0.35847,1.36229,0.62563,0.90883,0.00067,4.25842e-05,4.25842e-05,4.25842e-05
100,9106.53,1.32855,0.56372,0.87076,0.00052,0.70588,0.65533,0.65501,0.35867,1.36124,0.62608,0.90877,0.00066,2.84371e-05,2.84371e-05,2.84371e-05
