epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/sal_loss,train/teacher_sal_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/sal_loss,val/teacher_sal_loss,lr/pg0,lr/pg1,lr/pg2
47,4339.94,1.52161,0.70943,0.9087,0.00063,0,0.67648,0.63976,0.62051,0.33333,1.45046,0.69394,0.93403,0.00075,0,0.000778233,0.000778233,0.000778233
48,4431.98,1.54243,0.71655,0.90444,0.00063,0,0.69465,0.63234,0.62959,0.32972,1.47713,0.69505,0.94604,0.00077,0,0.000764086,0.000764086,0.000764086
49,4523.69,1.53605,0.70742,0.90234,0.00061,0,0.69958,0.62872,0.62444,0.33762,1.43117,0.69157,0.93002,0.00076,0,0.000749939,0.000749939,0.000749939
50,4615.54,1.52081,0.70559,0.9044,0.00063,0,0.68683,0.64046,0.6312,0.33897,1.42289,0.68626,0.92757,0.00074,0,0.000735792,0.000735792,0.000735792
51,4707.49,1.52531,0.70777,0.90446,0.00061,0,0.68793,0.63667,0.63433,0.33588,1.43656,0.68321,0.92927,0.00072,0,0.000721645,0.000721645,0.000721645
52,4798.93,1.52659,0.70099,0.89638,0.00062,0,0.69,0.64094,0.62594,0.33442,1.4528,0.71537,0.93056,0.00079,0,0.000707498,0.000707498,0.000707498
53,4889.3,1.49307,0.70411,0.90332,0.00062,0,0.69753,0.62473,0.61597,0.33026,1.4738,0.69913,0.93625,0.00081,0,0.000693351,0.000693351,0.000693351
54,4981.03,1.51496,0.69164,0.90174,0.00059,0,0.69204,0.64183,0.62521,0.33571,1.44146,0.72134,0.93078,0.00075,0,0.000679204,0.000679204,0.000679204
55,5073.29,1.53047,0.69725,0.89713,0.00061,0,0.68605,0.6379,0.62367,0.33424,1.42947,0.69129,0.93002,0.00078,0,0.000665057,0.000665057,0.000665057
56,5165.32,1.53195,0.70363,0.90324,0.00061,0,0.70076,0.63181,0.63576,0.33906,1.43793,0.69157,0.9295,0.00075,0,0.000650909,0.000650909,0.000650909
57,5258.6,1.50345,0.68714,0.89561,0.0006,0,0.70294,0.64047,0.63601,0.34126,1.43148,0.66787,0.93086,0.00077,0,0.000636762,0.000636762,0.000636762
58,5352.1,1.49559,0.68508,0.89173,0.0006,0,0.69711,0.63898,0.62959,0.33723,1.43032,0.68611,0.92565,0.00075,0,0.000622615,0.000622615,0.000622615
59,5443.54,1.50402,0.69632,0.89675,0.00059,0,0.70683,0.61383,0.62816,0.33835,1.43293,0.68141,0.92847,0.00075,0,0.000608468,0.000608468,0.000608468
60,5536.12,1.47961,0.66527,0.90236,0.0006,0,0.68368,0.63409,0.62497,0.33542,1.4452,0.67738,0.92935,0.00075,0,0.000594321,0.000594321,0.000594321
61,5628.54,1.49124,0.67658,0.89501,0.0006,0,0.6905,0.65832,0.63879,0.33802,1.44271,0.69428,0.92827,0.00077,0,0.000580174,0.000580174,0.000580174
62,5720.7,1.48207,0.66568,0.89236,0.0006,0,0.7168,0.63169,0.63834,0.34323,1.41752,0.66998,0.92173,0.00075,0,0.000566027,0.000566027,0.000566027
63,5815.16,1.47994,0.66379,0.89494,0.00058,0,0.67737,0.65167,0.63678,0.34106,1.43795,0.68646,0.93277,0.00073,0,0.00055188,0.00055188,0.00055188
64,5909.3,1.48663,0.67306,0.89165,0.00059,0,0.69027,0.65158,0.63288,0.33852,1.42669,0.68325,0.92639,0.00073,0,0.000537733,0.000537733,0.000537733
65,6002.06,1.47799,0.66082,0.88674,0.00058,0,0.67413,0.6552,0.63404,0.34061,1.43434,0.68631,0.92929,0.00074,0,0.000523586,0.000523586,0.000523586
66,6094.23,1.52867,0.68696,0.88476,0.00059,0,0.70198,0.65158,0.64502,0.34754,1.42101,0.67043,0.92963,0.00076,0,0.000509438,0.000509438,0.000509438
67,6185.85,1.45058,0.65039,0.89179,0.00057,0,0.72155,0.63218,0.64439,0.34418,1.42486,0.67001,0.9297,0.00072,0,0.000495291,0.000495291,0.000495291
68,6277.58,1.44665,0.65043,0.88998,0.00058,0,0.6859,0.65403,0.63391,0.34425,1.41687,0.67226,0.92482,0.00071,0,0.000481144,0.000481144,0.000481144
69,6369.07,1.47506,0.65823,0.88944,0.00059,0,0.70384,0.659,0.65039,0.35097,1.39795,0.66374,0.92123,0.00074,0,0.000466997,0.000466997,0.000466997
70,6461.4,1.44323,0.64857,0.8827,0.00057,0,0.68185,0.65185,0.63082,0.34363,1.42361,0.67951,0.92603,0.00075,0,0.00045285,0.00045285,0.00045285
71,6552.15,1.45897,0.65389,0.88994,0.00058,0,0.7192,0.63421,0.63845,0.34709,1.40728,0.66223,0.92531,0.00074,0,0.000438703,0.000438703,0.000438703
72,6643.57,1.44711,0.64913,0.88846,0.0006,0,0.72884,0.63393,0.64413,0.34693,1.40881,0.67057,0.92222,0.00073,0,0.000424556,0.000424556,0.000424556
73,6735.83,1.46287,0.6515,0.8872,0.00058,0,0.7071,0.63798,0.64496,0.34338,1.42912,0.67634,0.92459,0.00075,0,0.000410409,0.000410409,0.000410409
74,6827.58,1.43859,0.63694,0.88857,0.00058,0,0.70596,0.64629,0.63938,0.34607,1.38883,0.65531,0.91597,0.00073,0,0.000396262,0.000396262,0.000396262
75,6919.69,1.45998,0.65439,0.88264,0.00059,0,0.70724,0.64691,0.65121,0.35336,1.3978,0.66077,0.92157,0.00073,0,0.000382115,0.000382115,0.000382115
76,7011.12,1.41276,0.63234,0.88498,0.00058,0,0.71605,0.65807,0.64623,0.35189,1.39676,0.6492,0.92147,0.00071,0,0.000367967,0.000367967,0.000367967
77,7104.16,1.47012,0.65103,0.87697,0.00057,0,0.70829,0.67143,0.65085,0.35457,1.39177,0.65132,0.92161,0.00071,0,0.00035382,0.00035382,0.00035382
78,7196.07,1.43291,0.63188,0.87954,0.00057,0,0.69817,0.6708,0.65716,0.35827,1.39979,0.64967,0.92194,0.0007,0,0.000339673,0.000339673,0.000339673
79,7287.88,1.4315,0.62896,0.87383,0.00057,0,0.70094,0.65605,0.64989,0.35172,1.40979,0.66143,0.92568,0.00072,0,0.000325526,0.000325526,0.000325526
80,7380.79,1.41605,0.62384,0.88232,0.00057,0,0.69653,0.66241,0.64993,0.34971,1.41343,0.66007,0.92687,0.00073,0,0.000311379,0.000311379,0.000311379
81,7473.31,1.42018,0.62623,0.88191,0.00056,0,0.69582,0.67842,0.64781,0.35463,1.38805,0.64978,0.9206,0.00073,0,0.000297232,0.000297232,0.000297232
