epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/sal_loss,train/teacher_sal_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/sal_loss,val/teacher_sal_loss,lr/pg0,lr/pg1,lr/pg2,lambda_sal,beta_teacher
45,4135.87,1.541,0.72853,0.90514,0.00078,0,0.7082,0.61879,0.62117,0.33188,1.45504,0.70832,0.93273,0.0003,0,0.000806528,0.000806528,0.000806528,0.127023,0
46,4227.16,1.54016,0.72389,0.90974,0.00075,0,0.68133,0.61175,0.61054,0.31667,1.48707,0.7176,0.93871,0.00029,0,0.00079238,0.00079238,0.00079238,0.123923,0
47,4318.42,1.51824,0.70533,0.90605,0.00071,0,0.67609,0.64329,0.61682,0.33104,1.45946,0.69726,0.93314,0.00029,0,0.000778233,0.000778233,0.000778233,0.120801,0
48,4409.92,1.5452,0.71833,0.90176,0.00073,0,0.70139,0.62807,0.62748,0.33098,1.46042,0.70584,0.93532,0.0003,0,0.000764086,0.000764086,0.000764086,0.117662,0
49,4501.98,1.53762,0.71157,0.89837,0.00068,0,0.68489,0.63965,0.6277,0.33882,1.42388,0.70225,0.92291,0.00029,0,0.000749939,0.000749939,0.000749939,0.114509,0
50,4594.02,1.52746,0.70985,0.90188,0.00069,0,0.709,0.64529,0.64074,0.34072,1.4329,0.68101,0.92706,0.00028,0,0.000735792,0.000735792,0.000735792,0.111345,0
51,4687.19,1.5277,0.70247,0.90253,0.00065,0,0.70621,0.64832,0.64104,0.33673,1.43328,0.68662,0.92913,0.00028,0,0.000721645,0.000721645,0.000721645,0.108174,0
52,4778.59,1.52696,0.70049,0.896,0.00064,0,0.66439,0.63752,0.61857,0.32817,1.45809,0.75079,0.92987,0.0003,0,0.000707498,0.000707498,0.000707498,0.105,0
53,4868.5,1.49503,0.70475,0.90291,0.00061,0,0.67108,0.6116,0.60814,0.32626,1.4909,0.72143,0.93872,0.0003,0,0.000693351,0.000693351,0.000693351,0.101826,0
54,4960.17,1.52115,0.69397,0.9008,0.00057,0,0.71533,0.64343,0.63546,0.34041,1.44669,0.72652,0.92901,0.00029,0,0.000679204,0.000679204,0.000679204,0.0986547,0
55,5051.84,1.52582,0.6975,0.8925,0.00057,0,0.67767,0.62077,0.61276,0.32818,1.44179,0.70451,0.92995,0.0003,0,0.000665057,0.000665057,0.000665057,0.0954909,0
56,5142.72,1.52593,0.70608,0.90043,0.00057,0,0.694,0.63226,0.62033,0.33789,1.42635,0.68728,0.92465,0.00029,0,0.000650909,0.000650909,0.000650909,0.0923377,0
57,5233.74,1.50294,0.68831,0.8934,0.00052,0,0.6943,0.64761,0.6361,0.341,1.42535,0.68149,0.92614,0.00029,0,0.000636762,0.000636762,0.000636762,0.0891987,0
58,5324.6,1.49714,0.6855,0.89154,0.0005,0,0.70897,0.6342,0.63202,0.33882,1.42101,0.68554,0.9247,0.00029,0,0.000622615,0.000622615,0.000622615,0.0860773,0
59,5415.09,1.50516,0.69667,0.89514,0.00049,0,0.69402,0.64844,0.63952,0.34135,1.41745,0.67352,0.92187,0.00029,0,0.000608468,0.000608468,0.000608468,0.0829771,0
60,5506.73,1.47865,0.66413,0.89961,0.00048,0,0.69541,0.63515,0.63655,0.33605,1.4379,0.67736,0.9272,0.00029,0,0.000594321,0.000594321,0.000594321,0.0799014,0
61,5597.41,1.49083,0.6741,0.89469,0.00046,0,0.69496,0.66178,0.64276,0.34252,1.41953,0.69634,0.92197,0.00029,0,0.000580174,0.000580174,0.000580174,0.0768538,0
62,5688.46,1.47823,0.66408,0.89189,0.00044,0,0.71639,0.65415,0.65068,0.3478,1.40648,0.66822,0.91914,0.00029,0,0.000566027,0.000566027,0.000566027,0.0738376,0
63,5778.5,1.47589,0.66478,0.89373,0.00042,0,0.72387,0.64379,0.6465,0.34996,1.41791,0.65462,0.92882,0.00028,0,0.00055188,0.00055188,0.00055188,0.0708563,0
