epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/sal_loss,train/teacher_sal_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/sal_loss,val/teacher_sal_loss,lr/pg0,lr/pg1,lr/pg2,lambda_sal,beta_teacher
65,6272.66,1.53783,0.71273,0.89159,0.02519,0,0.69369,0.62882,0.6222,0.33437,1.44515,0.69359,0.92354,0.03487,0,0.000523586,0.000523586,0.000523586,0.0650112,0
66,6370.33,1.58155,0.72937,0.88965,0.02821,0,0.69691,0.62694,0.6324,0.3389,1.43359,0.67879,0.91504,0.03687,0,0.000509438,0.000509438,0.000509438,0.062154,0
67,6467.56,1.50494,0.69852,0.89537,0.02672,0,0.66203,0.64513,0.62526,0.335,1.43368,0.68262,0.91379,0.03549,0,0.000495291,0.000495291,0.000495291,0.0593447,0
68,6565.04,1.50685,0.70337,0.8942,0.02539,0,0.68177,0.64316,0.62788,0.33758,1.43216,0.70025,0.91529,0.03518,0,0.000481144,0.000481144,0.000481144,0.0565864,0
69,6661.58,1.53623,0.70692,0.89384,0.02277,0,0.67466,0.64524,0.63133,0.34053,1.42935,0.67923,0.9145,0.03423,0,0.000466997,0.000466997,0.000466997,0.0538822,0
70,6758.84,1.49905,0.6971,0.88667,0.02181,0,0.70382,0.62043,0.62379,0.33161,1.43806,0.68479,0.91324,0.0367,0,0.00045285,0.00045285,0.00045285,0.051235,0
71,6855.23,1.51158,0.70256,0.89328,0.01682,0,0.68897,0.63392,0.62452,0.33466,1.43109,0.6769,0.91421,0.03784,0,0.000438703,0.000438703,0.000438703,0.0486479,0
72,6951.5,1.4999,0.69414,0.89215,0.02003,0,0.69374,0.63871,0.62691,0.34058,1.42595,0.6885,0.91288,0.03683,0,0.000424556,0.000424556,0.000424556,0.0461238,0
73,7048.7,1.51619,0.69649,0.89092,0.01798,0,0.69056,0.62708,0.62278,0.33167,1.44359,0.69022,0.91684,0.03554,0,0.000410409,0.000410409,0.000410409,0.0436654,0
74,7145.2,1.49542,0.67941,0.89411,0.0162,0,0.69337,0.63279,0.62869,0.34062,1.41202,0.66897,0.90853,0.03345,0,0.000396262,0.000396262,0.000396262,0.0412755,0
75,7243.12,1.52232,0.70221,0.88834,0.01452,0,0.67816,0.65801,0.6359,0.34193,1.41213,0.6793,0.9097,0.03466,0,0.000382115,0.000382115,0.000382115,0.0389567,0
76,7340.01,1.47223,0.67528,0.89154,0.01376,0,0.67757,0.66421,0.63692,0.34306,1.43077,0.68303,0.9137,0.03407,0,0.000367967,0.000367967,0.000367967,0.0367118,0
77,7437.38,1.53003,0.69925,0.88155,0.01457,0,0.69518,0.64233,0.63238,0.3426,1.41845,0.67747,0.91078,0.03498,0,0.00035382,0.00035382,0.00035382,0.034543,0
78,7535.31,1.49111,0.6766,0.88293,0.0139,0,0.7027,0.64651,0.63927,0.34482,1.41956,0.66677,0.91212,0.03537,0,0.000339673,0.000339673,0.000339673,0.032453,0
79,7631.72,1.48783,0.67241,0.87852,0.01242,0,0.71536,0.64226,0.64003,0.34398,1.41504,0.66116,0.91267,0.03477,0,0.000325526,0.000325526,0.000325526,0.0304441,0
80,7728.13,1.48005,0.67066,0.8882,0.01265,0,0.69823,0.65112,0.64069,0.34405,1.42145,0.66313,0.91493,0.03387,0,0.000311379,0.000311379,0.000311379,0.0285183,0
81,7823.74,1.48231,0.67385,0.88725,0.01018,0,0.69642,0.65745,0.63639,0.34393,1.40885,0.65713,0.90894,0.03453,0,0.000297232,0.000297232,0.000297232,0.0266781,0
82,7921.2,1.46639,0.66396,0.88513,0.01084,0,0.71273,0.66051,0.64104,0.34411,1.41279,0.66112,0.91052,0.03325,0,0.000283085,0.000283085,0.000283085,0.0249252,0
83,8018.44,1.46951,0.66591,0.88391,0.0098,0,0.69891,0.66586,0.63757,0.34587,1.40383,0.65741,0.90799,0.0333,0,0.000268938,0.000268938,0.000268938,0.0232618,0
84,8116.15,1.43116,0.64146,0.88462,0.00704,0,0.70647,0.66529,0.64927,0.34909,1.40645,0.6644,0.90678,0.03306,0,0.000254791,0.000254791,0.000254791,0.0216898,0
85,8212.81,1.44564,0.65168,0.88012,0.00709,0,0.69405,0.6604,0.64389,0.35086,1.40739,0.65544,0.90961,0.0328,0,0.000240644,0.000240644,0.000240644,0.0202107,0
86,8311.15,1.48351,0.65712,0.87966,0.00647,0,0.70666,0.63952,0.63973,0.34846,1.39319,0.65153,0.90672,0.03245,0,0.000226497,0.000226497,0.000226497,0.0188264,0
87,8409.24,1.49917,0.67077,0.87665,0.00592,0,0.70814,0.64887,0.6401,0.34992,1.39084,0.65444,0.9066,0.03283,0,0.000212349,0.000212349,0.000212349,0.0175383,0
88,8506.54,1.46513,0.65803,0.87845,0.00668,0,0.70763,0.65196,0.64414,0.3481,1.39421,0.6465,0.90788,0.0345,0,0.000198202,0.000198202,0.000198202,0.0163478,0
89,8603.48,1.42552,0.64159,0.87869,0.0055,0,0.72472,0.64772,0.64888,0.35096,1.39663,0.65346,0.90787,0.03338,0,0.000184055,0.000184055,0.000184055,0.0152564,0
90,8701.12,1.47991,0.66226,0.88195,0.00569,0,0.69681,0.64865,0.64128,0.34937,1.39703,0.65286,0.90855,0.03346,0,0.000169908,0.000169908,0.000169908,0.0142653,0
91,8798.91,1.44569,0.65703,0.88797,0.01,0,0.70645,0.63338,0.63919,0.34964,1.40091,0.65619,0.91016,0.03377,0,0.000155761,0.000155761,0.000155761,0.0133754,0
92,8894.72,1.42462,0.63539,0.88386,0.00989,0,0.70822,0.64064,0.64357,0.34936,1.39794,0.652,0.90935,0.03267,0,0.000141614,0.000141614,0.000141614,0.0125879,0
93,8991.99,1.41669,0.62395,0.88249,0.0089,0,0.73324,0.6365,0.64419,0.34925,1.40598,0.65212,0.91116,0.03217,0,0.000127467,0.000127467,0.000127467,0.0119036,0
94,9088.67,1.42195,0.63136,0.88273,0.00863,0,0.73483,0.64174,0.65069,0.35527,1.39103,0.64997,0.90775,0.03205,0,0.00011332,0.00011332,0.00011332,0.0113233,0
95,9185.28,1.43128,0.63148,0.88023,0.00768,0,0.71276,0.6506,0.64697,0.35629,1.38734,0.64711,0.90726,0.03178,0,9.91726e-05,9.91726e-05,9.91726e-05,0.0108476,0
96,9279.73,1.41014,0.62074,0.8858,0.00727,0,0.72743,0.64116,0.64635,0.35408,1.39846,0.64661,0.90931,0.03171,0,8.50255e-05,8.50255e-05,8.50255e-05,0.0104771,0
97,9373.52,1.40804,0.62183,0.88616,0.00679,0,0.73192,0.64368,0.65164,0.35579,1.38975,0.64652,0.90624,0.03092,0,7.08784e-05,7.08784e-05,7.08784e-05,0.0102121,0
98,9469.86,1.39076,0.61559,0.88618,0.00686,0,0.72217,0.65264,0.6567,0.3569,1.39713,0.64713,0.90976,0.03116,0,5.67313e-05,5.67313e-05,5.67313e-05,0.0100531,0
99,9567.08,1.40356,0.61683,0.88109,0.00673,0,0.71328,0.6576,0.65344,0.35645,1.3872,0.64181,0.90621,0.03144,0,4.25842e-05,4.25842e-05,4.25842e-05,0.01,0
100,9662.8,1.40286,0.61102,0.88135,0.00707,0,0.71391,0.65949,0.65312,0.35624,1.38781,0.64095,0.9064,0.03153,0,2.84371e-05,2.84371e-05,2.84371e-05,0.01,0
