epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/sal_loss,train/teacher_sal_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/sal_loss,val/teacher_sal_loss,lr/pg0,lr/pg1,lr/pg2,lambda_sal,beta_teacher
69,6669.12,1.47851,0.66087,0.88467,0.00416,0,0.72513,0.63358,0.65108,0.35069,1.39615,0.66389,0.90917,0.00664,0,0.000466997,0.000466997,0.000466997,0.0538822,0
70,6765.02,1.44548,0.64743,0.8774,0.00439,0,0.70298,0.65515,0.64365,0.34623,1.4018,0.65942,0.91063,0.00645,0,0.00045285,0.00045285,0.00045285,0.051235,0
71,6861.15,1.45982,0.6579,0.884,0.00352,0,0.68435,0.65584,0.64114,0.34566,1.41307,0.66778,0.91274,0.00677,0,0.000438703,0.000438703,0.000438703,0.0486479,0
72,6958.52,1.44873,0.64758,0.88295,0.00347,0,0.70001,0.64387,0.63766,0.3473,1.39545,0.65401,0.90786,0.00684,0,0.000424556,0.000424556,0.000424556,0.0461238,0
73,7056.02,1.45948,0.65218,0.88159,0.00347,0,0.68387,0.65584,0.64812,0.34559,1.41729,0.66809,0.91049,0.00691,0,0.000410409,0.000410409,0.000410409,0.0436654,0
74,7153.1,1.44116,0.63658,0.88373,0.00343,0,0.69294,0.65589,0.64445,0.35064,1.38358,0.66163,0.90393,0.0067,0,0.000396262,0.000396262,0.000396262,0.0412755,0
75,7250.63,1.46087,0.65531,0.87716,0.00289,0,0.72285,0.64859,0.65742,0.35696,1.39391,0.65541,0.90489,0.00706,0,0.000382115,0.000382115,0.000382115,0.0389567,0
76,7346.59,1.4167,0.63303,0.88136,0.00264,0,0.68196,0.65916,0.64804,0.35585,1.39881,0.65763,0.91007,0.00701,0,0.000367967,0.000367967,0.000367967,0.0367118,0
77,7444.09,1.47248,0.6523,0.87226,0.00274,0,0.69453,0.6607,0.64772,0.3537,1.38486,0.6654,0.90885,0.00681,0,0.00035382,0.00035382,0.00035382,0.034543,0
78,7540.57,1.43345,0.63225,0.87563,0.00267,0,0.71491,0.65479,0.65087,0.35528,1.39026,0.66002,0.90972,0.00725,0,0.000339673,0.000339673,0.000339673,0.032453,0
79,7638.32,1.43217,0.63078,0.87005,0.00233,0,0.70794,0.64036,0.65057,0.35107,1.39324,0.65814,0.91316,0.00684,0,0.000325526,0.000325526,0.000325526,0.0304441,0
80,7736.39,1.42236,0.62718,0.8783,0.00234,0,0.69966,0.6572,0.65758,0.35296,1.40601,0.6653,0.91519,0.00703,0,0.000311379,0.000311379,0.000311379,0.0285183,0
81,7835.33,1.42478,0.6276,0.87809,0.00168,0,0.69657,0.67566,0.65466,0.35951,1.37397,0.65096,0.90655,0.00705,0,0.000297232,0.000297232,0.000297232,0.0266781,0
82,7933.45,1.40378,0.61943,0.87544,0.00177,0,0.71499,0.65178,0.65959,0.3572,1.38178,0.64746,0.90651,0.00673,0,0.000283085,0.000283085,0.000283085,0.0249252,0
83,8031.49,1.41112,0.62128,0.87494,0.00191,0,0.73313,0.64381,0.65915,0.36103,1.37447,0.65354,0.90698,0.00689,0,0.000268938,0.000268938,0.000268938,0.0232618,0
84,8129.27,1.37426,0.59852,0.87477,0.00135,0,0.72094,0.66393,0.65886,0.35714,1.3849,0.65134,0.90608,0.00655,0,0.000254791,0.000254791,0.000254791,0.0216898,0
85,8226.58,1.38582,0.60735,0.86947,0.00144,0,0.72,0.66381,0.66725,0.36166,1.38012,0.64262,0.90648,0.00675,0,0.000240644,0.000240644,0.000240644,0.0202107,0
86,8326.61,1.42451,0.61576,0.87087,0.0013,0,0.71579,0.66425,0.66309,0.36001,1.37333,0.64539,0.90501,0.00663,0,0.000226497,0.000226497,0.000226497,0.0188264,0
87,8424.15,1.43665,0.62467,0.86575,0.00103,0,0.72205,0.66448,0.66606,0.36087,1.38196,0.64802,0.90791,0.00672,0,0.000212349,0.000212349,0.000212349,0.0175383,0
88,8521.07,1.40514,0.61129,0.86856,0.00114,0,0.72436,0.66901,0.66908,0.3625,1.37323,0.63659,0.90683,0.00675,0,0.000198202,0.000198202,0.000198202,0.0163478,0
89,8618.15,1.35901,0.59717,0.86732,0.00094,0,0.72606,0.66676,0.66897,0.36282,1.37867,0.64022,0.90689,0.00648,0,0.000184055,0.000184055,0.000184055,0.0152564,0
90,8715.02,1.41874,0.61459,0.87191,0.00105,0,0.7417,0.66754,0.67007,0.36456,1.37609,0.63843,0.90763,0.00652,0,0.000169908,0.000169908,0.000169908,0.0142653,0
91,8811.64,1.38767,0.60724,0.87958,0.00189,0,0.7191,0.66846,0.6605,0.36125,1.39332,0.65795,0.91328,0.00666,0,0.000155761,0.000155761,0.000155761,0.0133754,0
92,8907.5,1.35855,0.58827,0.87181,0.00178,0,0.71151,0.65757,0.65803,0.35961,1.38378,0.64086,0.90956,0.00645,0,0.000141614,0.000141614,0.000141614,0.0125879,0
93,9003.05,1.34943,0.57765,0.87132,0.00164,0,0.70821,0.67282,0.66506,0.3588,1.38484,0.64321,0.90892,0.00625,0,0.000127467,0.000127467,0.000127467,0.0119036,0
94,9097.83,1.35381,0.58209,0.87162,0.00157,0,0.73382,0.66498,0.67292,0.36568,1.37189,0.64066,0.90769,0.00621,0,0.00011332,0.00011332,0.00011332,0.0113233,0
95,9192.82,1.36281,0.58518,0.86839,0.00137,0,0.70568,0.6811,0.66821,0.3663,1.37392,0.63924,0.90582,0.00631,0,9.91726e-05,9.91726e-05,9.91726e-05,0.0108476,0
96,9287.16,1.34095,0.57281,0.87329,0.00142,0,0.72578,0.66792,0.67209,0.36551,1.38439,0.64039,0.90933,0.00627,0,8.50255e-05,8.50255e-05,8.50255e-05,0.0104771,0
97,9383.09,1.34382,0.57588,0.87454,0.00123,0,0.71179,0.67316,0.66828,0.36698,1.36898,0.63163,0.9046,0.00622,0,7.08784e-05,7.08784e-05,7.08784e-05,0.0102121,0
98,9479.61,1.32093,0.56809,0.87458,0.00126,0,0.72656,0.67085,0.67137,0.36561,1.37784,0.63579,0.90775,0.00633,0,5.67313e-05,5.67313e-05,5.67313e-05,0.0100531,0
99,9575.96,1.33111,0.56918,0.86726,0.00128,0,0.72676,0.67083,0.67225,0.36758,1.37198,0.63334,0.90627,0.00627,0,4.25842e-05,4.25842e-05,4.25842e-05,0.01,0
100,9671.97,1.32901,0.56414,0.86743,0.00124,0,0.72209,0.66811,0.66937,0.36681,1.36878,0.63107,0.90536,0.00623,0,2.84371e-05,2.84371e-05,2.84371e-05,0.01,0
